Źródło,Nazwa,NazwaPL,Cecha,Min. Ręka,Rzucanie,Czas,Zasięg,Opis,As,Para,Para Figur,Dwie Pary,Trójka,Strit,Kolor,Ful,Kareta,Poker,Królewski Poker
Hexarcana,A Glass Darkly,Szkło w ciemności,Spostrzegawczość,Para,2,Działa 1 rundę/H,Zasięg 5 jardów,"Pozwala Kanciarzowi i jego towarzyszom zobaczyć odbicie przeszłych zdarzeń, patrząc w szybę okienną. Wszyscy patrzący w okno w trakcie rzucania Kanta widzą niewyraźne wizje, odzwierciedlające wydarzenia, jakie działy się w przeszłości po drugiej stronie okna. Wizje są bardzo niewyraźne i przypominają cienie (np. rozpoznanie twarzy rzadko jest możliwe). Co więcej, ludzie stojący po drugiej stronie szyby nie widzą ich. Kant przywołuje najbardziej nasycone emocjami wydarzenie (np. morderstwo) w ciągu ostatniego okresu (okres jest tym większy, im wyższa ręka została pociągnięta). Kolejne rzucania Kanta pokazują inne wydarzenia – w kolejności od najbardziej do najmniej dramatycznych.",-,Dzień,Dzień,Tydzień,Miesiąc,Rok,5 lat,10 lat,20 lat,50 lat,100+ lat
Podstawka,Ace in the Hole,As w Rękawie,Wiedza,Dwie Pary,10 minut,1 dzień/kant,Dotyk,"Kanciarz łączy znany sobie Kant z drobnym przedmiotem (zwykle kartą do gry). Właściciel tego przedmiotu może rzucać ten Kant tak, jakby był Kanciarzem. Liczba kości jest równa poziomowi Hexslingin' Kanciarza rzucającego Ace in the Hole. Rodzaj kości jest zależny od rzucającego „oddany” Kant. Kanciarz nie może posługiwać się „oddanym” Kantem, może jednak w dowolnym momencie przerwać efekt.
Przy rzucaniu „oddanego” Kanta backlash pojawia się również przy wyciągnięciu czerwonego Jokera.
Jeśli Kanciarz „odda” Kant którego nie można rzucać na siebie, to „na siebie” oznacza zarówno osobę której oddano Kant, jak i samego Kanciarza",,,,,,,,,,,
Podstawka,Achilles' Heel,Pięta Achillesa,Spostrzegawczość,Dwie Pary,1,Działa natychmiast,Zasięg 1 jard/H,"Daje wizję lub przeczucie dotyczące słabej strony Abominacji – im lepsza ręka, tym bardziej dokładna wizja. Użyte przeciw ludziom lub zwierzętom podaje wszystkie posiadane Zawady cztero- i pięciopunktowe.",,,,,,,,,,,
Podstawka,Air Bubble,Bąbel,Duch,As,1,Trwa 1 min/H,Zasięg 5 jardów/H,"Tworzy bańkę powietrza dookoła głowy Kanciarza lub celu Kanta. Świeże powietrze wewnątrz bańki jest nieustannie odświeżane. Od pociągniętej ręki zależy, w jakim środowisku bańka spełnia swoją rolę:",Dym,Gaz,Pod wodą,,,,,,,,
Shootist,All for One,Wszystkie za Jedną,Spryt,As,1,1 Tchu/rundę,Zasięg 1 jard/H,"Sprawia, że cel Kanta ma wszystkie specjalizacje umiejętności Shootin' (o ile posiada tę umiejętność).",,,,,,,,,,,
Shootist,Ammo Whammy,Za Garść Nabojów,Wiedza,As,1,Trwa 10 min/H,Na siebie,"Tworzy 3 kule, plus 3 za każdą rękę powyżej minimum. Kule istnieją tylko przez czas działania Kanta (chyba że kogoś trafią). Kule pojawiają się w dłoniu Kantującego. Dokładna liczba stworzonych pocisków podana jest w tabeli pod opisami Kantów.",3,6,9,12,15,18,21,24,27,30,33
Metal Mage,Analyse,Analiza,Spostrzegawczość,As,specjalne,Czas działania specjalny,Dotyk,"Po rzuceniu tego Kanta na eliksir, Kanciarz może ustalić jaka jest dokładna formuła jego tworzenia. Jeśli jest Alchemikiem, może od tej pory tworzyć ten eliksir tak, jakby sam go wymyślił. Jeśli nie, może – przez tyle godzin, ile wynosi jej typ kości w Smarts – wyjaśnić komuś, na czym polega formuła (po upływie tego czasu formuła zostaje zapomniana). Słuchający musi wykonać test Smarts (PT 11), by zrozumieć dość chaotyczne wyjaśnienia. Ten test można wykonać tylko raz – później Kanciarz musi raz jeszcze rzucić Analyse, by „spojrzeć na formułę z innej perspektywy”.",,,,,,,,,,,
Shootist,Argent Agony,Srebrzysta Agonia,Wiedza,Para,2,Trwa 10 minut/H,Na siebie,Zamienia 1 kulę (i dodatkowo jedną za każdą rękę powyżej minimum) w kulę zdolną ranić nadnaturalne stworzenia. Efekt trwa przez czas działania Kanta.,-,1,2,3,4,5,6,7,8,9,10
Metal Mage,Barricade,Barykada,Wiedza,Para Figur,2,Działa 1 minutę/H,Zasięg 5 jardów/H,"Tworzy mur złożony z kawałków metalu i innego złomu o szerokości 3 stóp na poziom Kantowania oraz wysokości 3 stóp. Ta barykada zapewnia Zbroję przeciw atakom zasięgowym (Shootin', Throwin'). Po upływie działania Kanta bariera momentalnie rdzewieje, rozpada się i znika.",-,-,(-4),1,2,3,4,5,6,7,8
Podstawka,Bash,Baśka,Duch,Para,2,Działa natychmiast,Zasięg 25 jardów/H,"Z rąk Kanciarza wylatuje wirująca kula energii, która przy trafieniu w cel powoduje uszkodzenia mechaniczne nieożywionych przedmiotów. Rzut za Kantowanie jest jednocześnie rzutem za atak. Nie ma modyfikatorów zasięgu, ale mogą pojawić się modyfikatory za rozmiar celu, strzały mierzone etc. Kula energii porusza się dość wolno, więc wszelkie rzuty za Uniki, Drivin' etc., mające na celu jej uniknięcie, otrzymują modyfikator +3. UWAGA: przy obrażeniach zadawanych maszynom, budynkom etc. nie dzieli się obrażeń przez 10 (tak, jak robi się w przypadku broni palnej małego kalibru).",0 / 1k4 T.,1k6,3k6,4k8,5k8,6k8,7k10,8k10,9k10,10k12,10k20
Podstawka,Beast Master,Władca Zwierząt,Spryt,Para,1,Koncentracja,Zasięg 5 jardów/H,Pozwala kontrolować mentalnie zwierzęta w zasięgu Kanta. Kant nie zwiększa inteligencji zwierząt i nie zwalnia z konieczności rzutów za Jaja.,-,1,1k4,1k6,2k6,3k8,4k10,5k12,6k20,8k20,10k20
Podstawka,Bedazzle,Oślepienie,Spryt,As,1,Działa natychmiast,Zasięg 5 stóp/H,"Każdy, kto patrzył w momencie rzucania Kantu na pojawiające się w jego ręku karty musi rzucić test Cognition (PT 3 +2 za każdą rękę powyżej minimum) lub zostaje oślepiony jaskrawymi, kolorowymi światłami, otrzymując -4 do wszystkich testów wymagających użycia wzroku. Oślepienie trwa 1 rundę na każdy poziom Kantowania. Osoby które zdały test Cognition zamykają oczy w momencie rozbłysku.",3,5,7,9,11,13,15,17,19,21,23
Hexarcana,Black Cat,Czarny kot,Spryt,Dwie Pary,Zwiewanie!,Działa natychmiast,Zasięg 5 jardów/H,"Kant, rzucony natychmiast po wykonaniu przez kogoś jakiegoś działania (Kanciarz musi wykonać Zwiewanie, czyli odrzucić najwyższą posiadaną kartę) zmusza osobę wykonującą tę czynność do natychmiastowego przerzucenia związanego z tą czynnością testu. Oryginalny test musi być udany (nie można wykorzystać Black Cat do kolejnej próby zdania oblanego testu). Co więcej, cel zaklęcia dostaje do drugiego testu premię +2.",,,,,,,,,,,
Podstawka,Black Lightnin',Czarna Błyskawica,Duch,Para,1,Działa 1 rundę/H,Zasięg 5 jardów/H,"Rzucenie Kanta ładuje dłonie Kanciarza czarną energią podobną do elektryczności. Przez czas działania Kanta może on rzucać tą energią w przeciwników (wymaga to Umiejętności Throwin': Black Lightnin'). Nie ma modyfikatorów z zasięgu, ale nie można celować w konkretną część ciała. Zbroja nie chroni przed efektami. Trafienie w walce wręcz automatycznie rozładowuje wszystkie ładunki na przeciwniku. Jeśli Kanciarz jest mokry, wszystkie ładunki rozładowują się na nim samym.",-,"K4 obr.
(H)k4","K4
(H)k4","K6
(H)k4","K8
(H)k4","K10
(H)k6","K12
(H)k6","K20
(H)k6","K20
(H)k8","K20
(H)k10","K20
(H)k12"
Metal Mage,Blast Furnace,Wielki Piec,Duch,As,2,Koncentracja,Zasięg 10 jardów/H,"Kant ten pozwala topić metale. Maksymalna masa, jaką można stopić, to 10 funtów na każdy poziom Kantowania. Rodzaj metalu, jaki można stopić zależy od pociągniętej ręki (choć nigdy nie jest możliwe stopienie Stali Upiorytowej). Niezależnie od siły Kanta, jego energia zaczyna się od tej, jaka powstałaby przy Asie, i rośnie o 1 typ ręki w kazdej rundzie działania Kanta. Aby stopić metal, należy utrzymać działanie Kanta przez 2 rundy na każdy poziom ręki potrzebnej do jego stopienia (na przykład nikiel wymaga Fula, siódmej ręki w kolejności, więc jego stopienie wymaga 7*2=14 rund). Nawet jeśli temperatura jest niewystarczająca do stopienia danego rodzaju metalu, i tak rozgrzewa się on do odpowiedniej temperatury. (kostakmi oznaczono obrażania za kontakt z podgrzewanym obiektem) ",1k6 DAM,"Ołów, 2k6","Ołów, 2k6","Cynk, 3k6","Alumi-nium, 4k6","Srebro, 5k8","Złoto, miedź, 6k8","Nikiel, 7k10","Żelazo, 8k10","Stal, 9k12","Wolfram,
10k12+2"
Podstawka,Bloodhound,Ogar,Spostrzegawczość,Para,1,Działa 1 godzinę/H,Zasięg 5 jardów/H,"Jeśli cel Kanta znajduje się w zasięgu podczas rzucania, do momentu zakończenia Kanta rzucający może dowiedzieć się pewnych rzeczy na temat ofiary (efekt zależny jest od ręki – przy Asie ogólny kierunek, przy Parze ogólny dystans, przy dwóch Parach kierunek podróży, przy trójce dokładne położenie, przy Stricie aktualnie wykonywana czynność, przy wyższych rękach więcej informacji), co pozwala łatwiej śledzić jej działania. Kant Ghost Trail nie zawsze chroni przed efektami Bloodhound (osoba tropiąca przy użyciu Bloodhound rzuca test sporny Hexslingin' przeciw osobie rzucającej Ghost Trail, Bloodhound działa tylko jeśli test sporny jest wygrany).",Ogólny kierunek,Ogólny kierunek,,Kierunek podróży,Trójce dokładne położenie,Aktualnie wykonywana czynność,,,,,
Podstawka,Bodyguard,Ochrona,Duch,As,2,Działa 1 minutę/H,Na siebie,"Magicznie pochłania określoną liczbę poziomów ran (zależną od pociągniętej ręki). Chroni to przed wszelkimi obrażeniami, a także ich dodatkowymi efektami (trucizna, utrata Tchu, przewrócenie na ziemię etc.). Nie chroni przed atakami i efektami powodującymi TYLKO utratę Tchu (tonięcie, duszenie, krwawienie). Kanciarz może być pod wpływem tylko jednego Bodyguard na raz.",1,2,3,4,6,8,10,14,20,30,50
Podstawka,Brimstone,Dymy Piekielne,Spryt,As,1,Działa 1 minutę/H,Zasięg 5 jardów/H,"Aby rzucić Kant, Kanciarz musi mieć dostęp do żarzących się węgli. Wkładając w nie rękę, może wyciągnąć kawałek dymiącej siarki (tracąc przy okazji k6 Tchu). Od tej pory każdy (wliczając Kanciarza), kto znajduje się w zasięgu dymu produkowanego przez bryłę siarki traci co turę Dech, jak również otrzymuje modyfikator -2 do wszystkich rzutów. Opuszczenie zadymionego obszaru zatrzymuje utratę Tchu, ale modyfikator utrzymuje się przez 2 pełne rundy.",1k4,1k6,1k8,2k6,2k8,2k10,2k12,3k12,4k12,5k12,5k20
Metal Mage,Bullet Proof,Kuloodporny,Spryt,Para,2,Działa 5 rund/H,Zasięg 10 jardów,"Ze skóry celu wyrastają rdzewiejące, nieregularne skrawki metalu, pokrywając całą jej powierzchnię twardym pancerzem. Dzięki temu cel Kanta otrzymuje Zbroję (o wartości od 1 do 5). W zamian spada jej Nimbleness (o jeden typ kości na każdy poziom zbroi, minimum k4). Nie jest możliwe wybranie efektu słabszego niż wyciągnięta ręka.",-,1,2,3,4,5,5,5,5,5,5
Shootist,Bullet With Your Name on It,Kula z Twoim Imieniem,Wiedza,As,1,1 Tchu/rundę,Na siebie,"Eliminuje kary związane z mierzonymi strzałami i/lub osłoną przy strzelaniu w jedną, konkretną osobę. Na najniższej ręce eliminuje karę -2, plus dodatkowo -1 za każdą rękę powyżej minimum. Aby Kant działał, Kanciarz musi znać imię lub nazwisko celu.
Dokładna wartość zanegowanych kar podana jest w tabeli pod opisami Kantów.
",-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12
Metal Mage,Bullet-Stopper,Kulołap,Duch,As,1,1 Tchu/rundę,Zasięg 10 jardów/H,"Kanciarz ma prawo do wyboru 1 celu (2 po pociągnięciu 2 par, 3 po pociągnięciu Trójki, 4 po pociągnięciu Karety, 5 po pociągnięciu Królewskiego Pokera). Cel Kanta ma większą szansę, że zostanie trafiony zabłąkaną kulą (szansa 1/6 wzrasta do 2/6, szansa 2/6 do 3/6). Oprócz tego, przy sprawdzaniu czy ktoś nie został trafiony zabłąkanym strzałem, cel Kanta jest ZAWSZE sprawdzany w pierwszej kolejności (tak więc zmniejsza się szansa, że ktoś inny zostanie trafiony przed nim i nie będzie on już zagrożony).",,1,1,2,3,3,3,3,4,4,5
Shootist,Bullseye,Między Oczy,Spryt,Para,1,1 Tchu/rundę,Dotyk,Cel Kanta dostaje na czas jego trwania premię +2 do wszystkich testów Shootin'. Kant nie działa na broń automatyczną ani na żadne gizmos.,,,,,,,,,,,
Podstawka,Call o' the Wild,Zew Krwi,Wiedza,Para,2,Koncentracja,Zasięg 1 mila/H,"Przyzywa (ale nie teleportuje!) pobliskie zwierzęta, które Kanciarz może kontrolować dopóki utrzymuje koncentację. Zwierzęta będą wypełniać mentalne polecenia Kanciarza zgodnie ze swoją inteligencją (czyli interpretując jego polecenia najlepiej jak potrafią). Rodzaj i liczba wezwanych zwierząt zależy od pociągniętej ręki (choć zawsze można wezwać słabsze zwierzęta niż wskazywałaby ręka).",,,"1k4 koty, skunksy, szopy;","3k6 szczurów, nietoperzy, węży;",,"2k6 wilków, kuguarów;",1k4 niedźwiedzie;,,2 razy większy zasięg;,,
Hexarcana,Cardsharp,Ostrze do kart,Wiedza,Para,1,Działanie 1 runda/H,Na siebie,"Kant ten działa nieco inaczej niż inne, gdyż jego efekt zależy nie tylko od pociągniętej ręki, ale też od tego, z jakich składa się ona kart. 5 kart, jakie otrzymał Kanciarz w teście Kantowania, pojawia się w jego ręce. Może on nimi rzucać za pomocą swojej umiejętności Throwin: Balanced. Mają one przyrost zasięgu 5, zadają magiczne obrażenia, ale nie ignorują zbroi. Maksymalna odległość, na jaką można je rzucić to 5 jardów na każdy poziom Kantowania rzucającego.",-,0,2,4,6,8,10,12,14,16,18
Metal Mage,Caustic Glop,Żrąca Maź,Spryt,Para,2,Czas działania specjalny,Zasięg 5 jardów/H,"Wystrzeliwuje niewielką kulę kwasu (test Kantowania jest zarazem testem trafienia, nie ma modyfikatorów za zasięg). W pierwszej turze kwas zadaje pełne obrażenia, w każdej następnej kostka obrażeń spada o 1 (jeśli obrażenia już wynosą xk4, spadają do zera). Jeśli kwas trafi w zbroję, w pierwszej turze nie zadaje żadnych obrażeń, ale w każdej turze, w której zadwałby co najmniej k6 obrażeń obniża (stale) poziom zbroi o 1.",-,2k4,3k4,3k6,3k8,4k8,5k8,5k10,6k10,7k10,8k12
Podstawka,Clear Out!,Won!,Duch,As,1,Działa 1 rundę/H,Na siebie,"Tworzy sferę energii kinetycznej odpychającej wszystko (i wszystkich) w pobliżu Kanciarza. Promień sfery wynosi 5 jardów na poziom Kantowania. Stworzenia, które nie chcą być odepchnięte (lub przyparte do ściany, jeśli nie mają GDZIE być odepchnięte) mają prawo do testu Siły o PT zależnym od pociągniętej ręki (3 przy Asie, 5 przy Parze etc.). Kant nie zatrzymuje kul rewolwerowych, strzał etc.
Dokładny PT testu Siły oraz maksymalna masa odepchniętych przedmiotów podana jest w tabeli pod opisami Kantów.
",50,100,150,200,250,300,350,400,450,500,550
Hexarcana,Cold Snap,Nagłe zmrożenie,Wiedza,Para,2,Działanie 5 rund/H,Zasięg 5 jardów/H,"Powoduje gwałtowny spadek temperatury w zasięgu działania Kanta. Każdy kto znajduje się w zasięgu, wliczając w to undeadów i inne Abominacje (oprócz tych magicznie niewrażliwych na efekty zimna) ma Deftness, Nimbleness i Quickness obniżone o 1 poziom, plus 1 za każdą rękę powyżej minimalnej. Jeśli cecha obniżona zostaje do k4, spada liczba kostek w tej cesze (minimum 1k4).",-,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10
Podstawka,Confound,Konfuzja,Spryt,As,1,Działanie 1 runda,Zasięg 5 jardów/H,"Zwiększa PT następnej Akcji wykonywanej przez cel (przy minimalnej ręce o +2 oraz dodatkowo +2 za każdą następną rękę). Przebicia liczone są zależnie od nowego PT. Kant wpływa na dowolne testy, w tym testy Kantowania, Wiary etc.",2,4,6,8,10,12,14,16,18,20,22
Podstawka,Corporeal Tweak,Podkręcenie Fizyczne,Spryt,Para,1,Koncentracja lub 1 Tchu/ rundę,Zasięg 5 jardów/H,Zwiększa jedną z Cech Fizycznych celu.,-,+/-1,+/-1,+/-2,+/-3,+/-4,+/-5,+/-6,+/-7,+/-8,+/-10
Podstawka,Corporeal Twist,Przykręcenie Fizyczne,Spryt,Para,1,Koncentracja lub 1 Tchu/ rundę,Zasięg 5 jardów/H,"Zmniejsza jedną z Cech Fizycznych celu. Jeśli cecha spadnie do k4, zmniejsza się liczba kostek w niej, aż do 1k4.",-,+/-1,+/-1,+/-2,+/-3,+/-4,+/-5,+/-6,+/-7,+/-8,+/-10
Podstawka,Critter Ward,Zwierzenie,Duch,Para Figur,5 minut,Działanie 1 godzina/H,Dotyk,"Tworzy krąg o promieniu 5 stóp na każdy poziom Hexslingin'. Żadne zwierzę nie może wejść z własnej woli do kręgu. Zwierzęta kontrolowane magicznie muszą zdać test Jaj (PT 7), lecz nawet wtedy otrzymują karę -2 do wszystkich testów, a w momencie, gdy kontrola przestanie działać, uciekną.",,,,,,,,,,,
Podstawka,Deadly Creepers,Rosiczka,Wiedza,Para,2,Koncentracja,Zasięg 15 jardów/H,"Ożywia rośliny w zasięgu, które zaczynają atakować każdego, wliczając Kanciarza i jego przyjaciół. Każdy kto próbuje opuścić obszar porośnięty roślinami musi wykonać test Siły (PT 5). Ponadto, od pociągniętej reki zależy maksymalny rozmiar roślin które Kant ożywia, oraz ilość zadawanych przez nie w rundzie obrażeń.","Trawa, zero obrażeń;",,"Pnącza, krzaki, 1k10 Tchu;","Młode drzewka, 1k6 obrażeń;","Małe drzewa, 2k6;","Średnie drzewa, 3k6;","Duże drzewa, 4k8;",,5k12;,,6k20.
Metal Mage,Decrypt,Odszyfrowywanie,Wiedza,Para,1,Działa 1 minutę/H,Na siebie,"Ułatwia łamanie kodów i szyfrów. Bazowa ręka daje premię +5 do testów Professional: Cryptology, każda ręka powyżej minimum daje dodatkową premię +2. Kant działa nawet, jeśli rzucający nie posiada umiejętności Cryptology.",-,5,7,9,11,13,15,17,19,21,23
Metal Mage,Dementia,Obłęd,Charyzma,Para,2,Działa 1 minutę/H,Zasięg 5 jardów/H,"Obdarza cel Kanta tymczasową chorobą psychiczną. Efekt zależny jest od pociągniętej ręki (choć Kanciarz może zdecydować sie na efekt ręki niższej niż pociągnięta). Kanciarz ma prawo częściowo decydować o efekcie psychozy (np. jeśli efektem Kanta jest Fobia, Kanciarz ma częściowy wpływ na przedmiot fobii).",,,"Roztargnionny (cel Kanta musi zdać test Smarts o PT 5 zawsze, gdy chce pamiętać o ważnych faktach – na przykład co robił przed minutą);",Mniejsza Fobia (-2 do wszystkich działań związanych z przedmiotem fobii lub w jego obecności);,Paranoja (cel Kanta staje się nienaturalnie podejrzliwy wobec wszystkich dookoła. Nigdy nie pozwoli NIKOMU zbliżyć się na odległość poniżej 5 stóp);,Większa Fobia (-4 do wszystkich działań związanych z przedmiotem fobii lub w jego obecności; wymagany test Jaj o PT 9 by w jakikolwiek sposób bezpośrednio wpłynąć na przedmiot fobii);,"Urojenie (cel zaczyna wierzyć w coś potencjalnie bardzo niebezpiecznego – że potrafi latać, że kwas siarkowy jest dobry na wrzody żołądka, albo że „wszyscy wiedzą że niezawodny sposób na uspokojenie wilkołaka to podrapać go za uszami”).",,,,
Podstawka,Deuces Wild!,Podwojenie,Spryt,Para Figur,2,Koncentracja,Zasięg 5 jardów/H,"Tworzy iluzoryczną kopię Kanciarza, którą można poruszać dzięki koncentracji. Rozpoznanie „fałszywki” wymaga testu Cognition (PT 7, choć przy odległości mniejszej niż 3 stopy można zobaczyć falowanie obrazu Kanciarza już przy PT 3). Kant nie działa na stworzenia polegające np. na węchu.
Jeśli Kanciarz wyciągnie trójkę lub lepiej, może sprawić że iluzja wydaje się mówić.
",,,,,,,,,,,
Metal Mage,Devil's Workshop,Warsztat Diabła,Spryt,Para,1 godzina,Czas działania specjalny,Zasięg 1 jard,"Jeśli rzuci się ten Kant na Szalonego Naukowca, gdy rozpoczyna pracę nad konstrukcją wynalazku (można rzucać na siebie), czas potrzebny na ukończenie projektu będzie krótszy, w zależności od pociągniętej ręki.",-,-10%,-10%,-20%,-30%,-40%,-40%,-50%,-60%,-60%,-75%
Podstawka,Disrupt,Rozproszenie,Wiedza,As,2,Działa natychmiast,Zasięg 5 jardów/H,"Rozprasza trwający efekt Kanta, magii lub mocy Wygrzebańczej (nie działa na szamańskie Przysługi, na Cuda Świątobliwych, na magię Anahuaców, na mojo voodooistów etc.). Wymagana ręka zależy od poziomu odpowiedniej mocy czy umiejętności u rzucającego.",1,2,3,4,4,5,6,7,8,9,10
Podstawka,Diversion,Sabotaż,Spryt,Para,Zwiewanie!,Działa natychmiast,Zasięg 5 jardów/H,"Sprawia, że atak (nie-obszarowy) wycelowany w kogoś innego niż Kanciarz zostaje odbity w bok (działa na pociski, Soul Blast czy Black Lightnin' etc.). PT trafienia zwiększa się o 5.",,,,,,,,,,,
Podstawka,Draw!,Ciągnij!,Spryt,As,2,1 runda,Zasięg 10 jardów/H,"Sprawia, że Kanciarz lub jego towarzysz natychmiast ciągnie dodatkowe Karty Akcji. Katy wyższe niż już użyte w danej rundzie muszą być natychmiast użyte, schowane do rękawa lub odrzucone.
Dokładna liczba dodatkowych kart podana jest w tabeli pod opisami Kantów.
",1,2,2,3,4,5,6,7,8,9,10
Podstawka,Earshot,Przesłyszenie,Spostrzegawczość,Para,1,Koncentracja lub 1 Tchu/rundę,Zasięg 1 mila/H,"Kanciarz może słyszeć uszami osoby (nie Abominacji), którą widzi lub jeśli trzyma w ręku przedmiot dotknięty przez cel w ciągu ostatniego tygodnia. Jeśli cel rzuci test Ducha (PT 7), może co rundę próbować „wyrzucić” Kanciarza ze swojej głowy (sporny test Ducha przeciw Kantowaniu).",,,,,,,,,,,
